clustID	pdb	dist_res	dist_aa	N
1	YOR089C	0.8058076500892639	0.6453320980072021	11
1	YNL093W	0.8098238110542297	0.6589417457580566	11
1	YFL038C	0.9269846081733704	0.652670681476593	11
1	YDL192W	0.6822293996810913	0.6239610314369202	11
1	YFL005W	0.9588165879249573	0.61976158618927	11
1	YKR014C	0.7372710704803467	0.6592684388160706	11
1	YOR094W	0.6766772270202637	0.6373096704483032	11
1	YHR022C	0.8280696868896484	0.630553126335144	11
1	YCR027C	0.9750450253486633	0.6554846167564392	11
1	YKL154W	0.8167819380760193	0.665567934513092	11
1	YBR264C	0.9680191278457642	0.6539155840873718	11
1	YLR293C	0.759077250957489	0.6444474458694458	11
1	YOR185C	0.7700939774513245	0.657823920249939	11
1	YBR164C	0.6671114563941956	0.6208397746086121	11
1	YNL090W	0.817095160484314	0.6565423607826233	11
1	YMR138W	0.7707808017730713	0.6631884574890137	11
0	YOR089C	0.6995864510536194	0.6814301609992981	9
0	YNL093W	0.6886122226715088	0.6660012602806091	9
0	YFL038C	0.7370119094848633	0.6809451580047607	9
0	YDL192W	0.6900012493133545	0.6811013221740723	9
0	YFL005W	0.743079423904419	0.6842713356018066	9
0	YKR014C	0.6846673488616943	0.6747561097145081	9
0	YOR094W	0.6941558718681335	0.6667256355285645	9
0	YHR022C	0.7002051472663879	0.673907995223999	9
0	YCR027C	0.7369211912155151	0.6849965453147888	9
0	YKL154W	0.6745801568031311	0.6542995572090149	9
0	YBR264C	0.7853953838348389	0.6922370195388794	9
0	YLR293C	0.6565752029418945	0.6683738231658936	9
0	YOR185C	0.6627814173698425	0.6624404788017273	9
0	YBR164C	0.6718051433563232	0.6735879778862	9
0	YNL090W	0.6603733897209167	0.6777423620223999	9
0	YMR138W	0.7240501642227173	0.651642918586731	9
2	YOR089C	1.1029932498931885	0.4847727119922638	6
2	YNL093W	1.2335923910140991	0.49885162711143494	6
2	YFL038C	1.2041689157485962	0.5183854103088379	6
2	YDL192W	1.1762771606445312	0.5209835767745972	6
2	YFL005W	1.069127082824707	0.5410693883895874	6
2	YKR014C	1.0736712217330933	0.5059767961502075	6
2	YOR094W	1.082297921180725	0.49266183376312256	6
2	YHR022C	1.2193951606750488	0.4972228705883026	6
2	YCR027C	1.173251986503601	0.5297794342041016	6
2	YKL154W	1.209648609161377	0.5034414529800415	6
2	YBR264C	1.222704291343689	0.5296996235847473	6
2	YLR293C	1.192980408668518	0.5515179634094238	6
2	YOR185C	1.164554476737976	0.5203408598899841	6
2	YBR164C	1.1150742769241333	0.47958552837371826	6
2	YNL090W	1.0525704622268677	0.48668327927589417	6
2	YMR138W	1.21052885055542	0.5067062377929688	6
3	YOR089C	1.1040325164794922	0.7907378673553467	5
3	YNL093W	1.1201279163360596	0.8043460845947266	5
3	YFL038C	1.1643569469451904	0.8403113484382629	5
3	YDL192W	1.2859312295913696	0.8216300010681152	5
3	YFL005W	1.093051791191101	0.8129417300224304	5
3	YKR014C	1.1036999225616455	0.8035456538200378	5
3	YOR094W	1.3734819889068604	0.8523670434951782	5
3	YHR022C	1.27139413356781	0.8614468574523926	5
3	YCR027C	1.326775312423706	0.8945132493972778	5
3	YKL154W	1.3298479318618774	0.8486289978027344	5
3	YBR264C	1.2653039693832397	0.8441001176834106	5
3	YLR293C	1.2269678115844727	0.8654237985610962	5
3	YOR185C	1.2293142080307007	0.8079357147216797	5
3	YBR164C	1.3594900369644165	0.8396676182746887	5
3	YNL090W	1.1128623485565186	0.7640103101730347	5
3	YMR138W	1.409081220626831	0.8653253316879272	5
4	YOR089C	0.7471048831939697	0.6017650961875916	12
4	YNL093W	0.6991131901741028	0.5923444032669067	12
4	YFL038C	0.7501416802406311	0.5862453579902649	12
4	YDL192W	0.7297499179840088	0.5977922677993774	12
4	YFL005W	0.7328442931175232	0.5813975930213928	12
4	YKR014C	0.7152779698371887	0.584221601486206	12
4	YOR094W	0.7124426364898682	0.5791018009185791	12
4	YHR022C	0.730891227722168	0.6107856631278992	12
4	YCR027C	0.6960945129394531	0.6016402840614319	12
4	YKL154W	0.7022576332092285	0.6006863713264465	12
4	YBR264C	0.7095707058906555	0.5868861675262451	12
4	YLR293C	0.7317068576812744	0.5907626152038574	12
4	YOR185C	0.7176434397697449	0.5908952355384827	12
4	YBR164C	0.7011527419090271	0.5848122239112854	12
4	YNL090W	0.7843506932258606	0.5997309684753418	12
4	YMR138W	0.8413085341453552	0.6043678522109985	12
5	YOR089C	0.7725453972816467	0.7644369602203369	9
5	YNL093W	1.1022660732269287	0.7551639080047607	9
5	YFL038C	0.9855931401252747	0.8140716552734375	9
5	YDL192W	0.8968971967697144	0.7597149610519409	9
5	YFL005W	0.9320797324180603	0.7856066226959229	9
5	YKR014C	1.0411521196365356	0.7481193542480469	9
5	YOR094W	0.8596252799034119	0.7955902218818665	9
5	YHR022C	0.8444379568099976	0.7716279029846191	9
5	YCR027C	0.9165724515914917	0.7987797260284424	9
